pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00731.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00732.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00733.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00734.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00735.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00736.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00737.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00738.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00739.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	plate	1	files 721-730 unknown. I may have pulled the trigger accidentally	Spec00740.asd.txt	P3S3_1	P3S3_1_PL1
P3S3	1	water	1	na	Spec00741.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00742.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00743.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00744.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00745.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00746.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00747.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00748.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00749.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	water	1	na	Spec00750.asd.txt	P3S3_1	P3S3_1_WA1
P3S3	1	sky	1	na	Spec00751.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00752.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00753.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00754.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00755.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00756.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00757.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00758.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00759.asd.txt	P3S3_1	P3S3_1_SK1
P3S3	1	sky	1	na	Spec00760.asd.txt	P3S3_1	P3S3_1_SK1
