uniqueID	waterbody	sample	site	rep	band	rrs	sd
ClearLake_20190807-P2S1_2	ClearLake_20190807	P2S1_2	P2S1	2	b08_665	0.00877458811146487	8.337794928865635e-4
ClearLake_20190807-P2S1_2	ClearLake_20190807	P2S1_2	P2S1	2	b10_681	0.007484934805031243	3.0359944996151113e-4
ClearLake_20190807-P2S1_2	ClearLake_20190807	P2S1_2	P2S1	2	b11_709	0.01253732577203115	7.48009879223947e-4
ClearLake_20190807-P2S1_3	ClearLake_20190807	P2S1_3	P2S1	3	b07_620	0.012793594504555104	2.65883446773073e-4
ClearLake_20190807-P2S1_3	ClearLake_20190807	P2S1_3	P2S1	3	b08_665	0.008280837830967313	7.60544474714804e-4
ClearLake_20190807-P2S1_3	ClearLake_20190807	P2S1_3	P2S1	3	b10_681	0.007101975014662821	2.8190485467864543e-4
ClearLake_20190807-P2S1_3	ClearLake_20190807	P2S1_3	P2S1	3	b11_709	0.011465583880116544	7.198096576654338e-4
ClearLake_20190807-P2S2_1	ClearLake_20190807	P2S2_1	P2S2	1	b07_620	0.012977283253021502	2.6610836093658995e-4
ClearLake_20190807-P2S2_1	ClearLake_20190807	P2S2_1	P2S2	1	b08_665	0.00831229419715033	7.92653695531488e-4
ClearLake_20190807-P2S2_1	ClearLake_20190807	P2S2_1	P2S2	1	b10_681	0.007136769236906092	3.0576703326630424e-4
ClearLake_20190807-P2S2_1	ClearLake_20190807	P2S2_1	P2S2	1	b11_709	0.012001434105038093	7.211308848078155e-4
ClearLake_20190807-P2S2_2	ClearLake_20190807	P2S2_2	P2S2	2	b07_620	0.013770128648758002	2.893054585562798e-4
ClearLake_20190807-P2S2_2	ClearLake_20190807	P2S2_2	P2S2	2	b08_665	0.008796664810827083	8.266854093863366e-4
ClearLake_20190807-P2S2_2	ClearLake_20190807	P2S2_2	P2S2	2	b10_681	0.0075652074587196465	3.1262138042296506e-4
ClearLake_20190807-P2S2_2	ClearLake_20190807	P2S2_2	P2S2	2	b11_709	0.012442645775046664	7.725207891086043e-4
ClearLake_20190807-P2S2_3	ClearLake_20190807	P2S2_3	P2S2	3	b07_620	0.013628556095287462	2.8982103229260593e-4
ClearLake_20190807-P2S2_3	ClearLake_20190807	P2S2_3	P2S2	3	b08_665	0.008681499239777082	8.517277894931864e-4
ClearLake_20190807-P2S2_3	ClearLake_20190807	P2S2_3	P2S2	3	b10_681	0.0074141421559528	3.2310864315949816e-4
ClearLake_20190807-P2S2_3	ClearLake_20190807	P2S2_3	P2S2	3	b11_709	0.012858592782738033	7.451755488373556e-4
ClearLake_20190807-P2S3_1	ClearLake_20190807	P2S3_1	P2S3	1	b07_620	0.014816508759375688	3.2894602671260537e-4
ClearLake_20190807-P2S3_1	ClearLake_20190807	P2S3_1	P2S3	1	b08_665	0.009183480756757425	9.034182486312111e-4
ClearLake_20190807-P2S3_1	ClearLake_20190807	P2S3_1	P2S3	1	b10_681	0.007826600091765896	3.409279419671597e-4
ClearLake_20190807-P2S3_1	ClearLake_20190807	P2S3_1	P2S3	1	b11_709	0.013532692232748583	7.980403729565646e-4
ClearLake_20190807-P2S3_2	ClearLake_20190807	P2S3_2	P2S3	2	b07_620	0.01472639059671021	3.3771099262187913e-4
ClearLake_20190807-P2S3_2	ClearLake_20190807	P2S3_2	P2S3	2	b08_665	0.009056914370193868	8.75505765211871e-4
ClearLake_20190807-P2S3_2	ClearLake_20190807	P2S3_2	P2S3	2	b10_681	0.0077089926873501365	3.1936441440677044e-4
ClearLake_20190807-P2S3_2	ClearLake_20190807	P2S3_2	P2S3	2	b11_709	0.012951965375967569	7.860817862161437e-4
ClearLake_20190807-P2S3_3	ClearLake_20190807	P2S3_3	P2S3	3	b07_620	0.01458865136739155	3.2173457521732793e-4
ClearLake_20190807-P2S3_3	ClearLake_20190807	P2S3_3	P2S3	3	b08_665	0.00901846224780472	8.880245394008404e-4
ClearLake_20190807-P2S3_3	ClearLake_20190807	P2S3_3	P2S3	3	b10_681	0.007657096203090381	3.33819660355697e-4
ClearLake_20190807-P2S3_3	ClearLake_20190807	P2S3_3	P2S3	3	b11_709	0.013197021166697506	7.783192558637954e-4
ClearLake_20190807-P3S1_1	ClearLake_20190807	P3S1_1	P3S1	1	b07_620	0.012471223697977301	2.5574689825118394e-4
ClearLake_20190807-P3S1_1	ClearLake_20190807	P3S1_1	P3S1	1	b08_665	0.0083803860492743	5.791087501183872e-4
ClearLake_20190807-P3S1_1	ClearLake_20190807	P3S1_1	P3S1	1	b10_681	0.007435799815593327	2.0977928937137414e-4
ClearLake_20190807-P3S1_1	ClearLake_20190807	P3S1_1	P3S1	1	b11_709	0.009082299226346811	7.387110682369717e-4
ClearLake_20190807-P3S1_2	ClearLake_20190807	P3S1_2	P3S1	2	b07_620	0.012428486839773385	2.4258249154812637e-4
ClearLake_20190807-P3S1_2	ClearLake_20190807	P3S1_2	P3S1	2	b08_665	0.008412837569398623	5.803306472678174e-4
ClearLake_20190807-P3S1_2	ClearLake_20190807	P3S1_2	P3S1	2	b10_681	0.007503177833690899	2.2023268920083085e-4
ClearLake_20190807-P3S1_2	ClearLake_20190807	P3S1_2	P3S1	2	b11_709	0.009200604873325758	7.472492241423977e-4
ClearLake_20190807-P3S1_3	ClearLake_20190807	P3S1_3	P3S1	3	b07_620	0.012510047117141734	2.4861246942882524e-4
ClearLake_20190807-P3S1_3	ClearLake_20190807	P3S1_3	P3S1	3	b08_665	0.008469490839360619	5.781829581302651e-4
