waterbody	sample	pix_site	pixel	site	rep	Lat	Lon	uniqueID	pix_FID	CInoncyano_pix_sat	CIcyano_pix_sat	CInoncyano_sat	CInoncyano_mod_sat	CIcyano_sat	CIcyano_mod_sat	CI_sat	CI_mod_sat	CI_field	ss665_field	CI_mod_field	CI_pix_field	ss665_threshold	date	lat	long	secchi_disappear_m	secchi_reappear_m	time	temp_C	pH	cond_us	DO_mgL	turb_ntu	chla_ugL	secchi_avg
ClearLake_20190807	P3S1_1	P3S1	P3	S1	1	38.9837887687	-122.717196274	ClearLake_20190807-P3S1_1	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0011998273889800679	-3.761806862885939e-4	18.96348785175999	106.59323096192045	<0	2019-08-07	38.98331	-122.717	2.71	2.62	13:37:00	27.7	8.82	284.7	12.46	1.9	15.96	2.665
ClearLake_20190807	P3S1_2	P3S1	P3	S1	2	38.9837887687	-122.717196274	ClearLake_20190807-P3S1_2	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0011961205734994096	-3.822245937565344e-4	18.904900965861398	106.4812466994401	<0	2019-08-07	38.98331	-122.717	2.71	2.62	13:37:00	27.7	8.82	284.7	12.46	1.9	15.96	2.665
ClearLake_20190807	P3S1_3	P3S1	P3	S1	3	38.9837887687	-122.717196274	ClearLake_20190807-P3S1_3	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0011894322029613038	-3.965847491779139e-4	18.79919006559994	106.27830770926865	<0	2019-08-07	38.98331	-122.717	2.71	2.62	13:37:00	27.7	8.82	284.7	12.46	1.9	15.96	2.665
ClearLake_20190807	P3S2_1	P3S2	P3	S2	1	38.9837887687	-122.717196274	ClearLake_20190807-P3S2_1	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0010994855732392149	-3.820342278955417e-4	17.377567392448974	103.4324612661767	<0	2019-08-07	38.9833	-122.71766	2.85	2.77	14:08:00	27.8	8.8	285.1	12.28	2.38	17.52	2.81
ClearLake_20190807	P3S2_2	P3S2	P3	S2	2	38.9837887687	-122.717196274	ClearLake_20190807-P3S2_2	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0010621923570951824	-4.0034285108765015e-4	16.788141398513634	102.18359768078507	<0	2019-08-07	38.9833	-122.71766	2.85	2.77	14:08:00	27.8	8.8	285.1	12.28	2.38	17.52	2.81
ClearLake_20190807	P3S2_3	P3S2	P3	S2	3	38.9837887687	-122.717196274	ClearLake_20190807-P3S2_3	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0010610829511923537	-3.646620425311639e-4	16.770607038526364	102.14577805185658	<0	2019-08-07	38.9833	-122.71766	2.85	2.77	14:08:00	27.8	8.8	285.1	12.28	2.38	17.52	2.81
ClearLake_20190807	P3S3_1	P3S3	P3	S3	1	38.9837887687	-122.717196274	ClearLake_20190807-P3S3_1	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0012318923599989459	-3.628355404672271e-4	19.47028049040814	107.54773015042089	<0	2019-08-07	38.98348	-122.71617	2.35	NA	14:48:00	27.7	8.81	285	12.21	3.47	15.54	NA
ClearLake_20190807	P3S3_2	P3S3	P3	S3	2	38.9837887687	-122.717196274	ClearLake_20190807-P3S3_2	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0011695017524911441	-3.70153608278025e-4	18.48418570843798	105.66673974443792	<0	2019-08-07	38.98348	-122.71617	2.35	NA	14:48:00	27.7	8.81	285	12.21	3.47	15.54	NA
ClearLake_20190807	P3S3_3	P3S3	P3	S3	3	38.9837887687	-122.717196274	ClearLake_20190807-P3S3_3	957	0	94	6.309573444801929e-5	0.9972394401831456	8.472274141405964e-4	13.390581781426672	8.472274141405964e-4	13.390581781426672	0.0012530960150771884	-3.2783719244844486e-4	19.805408075577677	108.16536240863942	<0	2019-08-07	38.98348	-122.71617	2.35	NA	14:48:00	27.7	8.81	285	12.21	3.47	15.54	NA
ClearLake_20190807	P1S1_1	P1S1	P1	S1	1	38.978747479	-122.709869698	ClearLake_20190807-P1S1_1	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.0027263662393179995	-8.370623807451693e-5	43.09070915834406	136.2986829364316	<0	2019-08-07	38.97833	-122.70942	2.38	2.22	10:50:00	27.2	8.85	285.1	12.21	3.4	30.75	2.3
