uniqueID	waterbody	sample	site	rep	ci
LakeAlmanor_20190815-P1S3_2	LakeAlmanor_20190815	P1S3_2	P1S3	2	-3.9094430170245767e-4
LakeAlmanor_20190815-P1S3_3	LakeAlmanor_20190815	P1S3_3	P1S3	3	-3.933351261463877e-4
LakeAlmanor_20190815-P2S1_1	LakeAlmanor_20190815	P2S1_1	P2S1	1	-3.6654359748518534e-4
LakeAlmanor_20190815-P2S1_2	LakeAlmanor_20190815	P2S1_2	P2S1	2	-3.600756528312056e-4
LakeAlmanor_20190815-P2S1_3	LakeAlmanor_20190815	P2S1_3	P2S1	3	-3.556864231022698e-4
LakeAlmanor_20190815-P2S2_1	LakeAlmanor_20190815	P2S2_1	P2S2	1	-3.6717394875647956e-4
LakeAlmanor_20190815-P2S2_2	LakeAlmanor_20190815	P2S2_2	P2S2	2	-3.1783921762184447e-4
LakeAlmanor_20190815-P2S2_3	LakeAlmanor_20190815	P2S2_3	P2S2	3	-3.233684499120837e-4
LakeAlmanor_20190815-P2S3_1	LakeAlmanor_20190815	P2S3_1	P2S3	1	-4.105124423611599e-4
LakeAlmanor_20190815-P2S3_2	LakeAlmanor_20190815	P2S3_2	P2S3	2	-3.820775179528918e-4
LakeAlmanor_20190815-P2S3_3	LakeAlmanor_20190815	P2S3_3	P2S3	3	-3.9461167334128324e-4
LakeAlmanor_20190815-P3S1_1	LakeAlmanor_20190815	P3S1_1	P3S1	1	-2.69680190051234e-4
LakeAlmanor_20190815-P3S1_2	LakeAlmanor_20190815	P3S1_2	P3S1	2	-2.565818746660593e-4
LakeAlmanor_20190815-P3S1_3	LakeAlmanor_20190815	P3S1_3	P3S1	3	-2.6390175846942765e-4
LakeAlmanor_20190815-P3S2_1	LakeAlmanor_20190815	P3S2_1	P3S2	1	-2.4409780924857004e-4
LakeAlmanor_20190815-P3S2_2	LakeAlmanor_20190815	P3S2_2	P3S2	2	-2.4507368226300114e-4
LakeAlmanor_20190815-P3S2_3	LakeAlmanor_20190815	P3S2_3	P3S2	3	-2.2680710216029193e-4
LakeAlmanor_20190815-P3S3_1	LakeAlmanor_20190815	P3S3_1	P3S3	1	-2.4210377171875858e-4
LakeAlmanor_20190815-P3S3_2	LakeAlmanor_20190815	P3S3_2	P3S3	2	-2.550798479702129e-4
LakeAlmanor_20190815-P3S3_3	LakeAlmanor_20190815	P3S3_3	P3S3	3	-2.6389628179721925e-4
