Lon	Lat	sat_pix_val	waterbody	pix_num	pixel	uniqueID	sample	site	rep	ci	ci_mod	pix_val
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S1_2	P3S1_2	P3S1	2	-6.588291391142957e-5	-1.0412913132946484	0
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S1_3	P3S1_3	P3S1	3	-9.080703382589308e-5	-1.4352215148843288	0
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S2_1	P3S2_1	P3S2	1	-5.174027791262075e-5	-0.8177644056589952	0
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S2_2	P3S2_2	P3S2	2	-9.167281355384918e-5	-1.448905319325026	0
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S2_3	P3S2_3	P3S2	3	-6.60047042122426e-5	-1.0432162309212525	0
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S3_1	P3S3_1	P3S3	1	-1.1481237641910828e-4	-1.8146302755317618	0
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S3_2	P3S3_2	P3S3	2	-1.2811433054853443e-4	-2.0248700548990852	0
-122.2528737	37.93605697	0	SanPabloReservoir_20190812	2	P3	SanPabloReservoir_20190812-P3S3_3	P3S3_3	P3S3	3	-1.3905959359512788e-4	-2.197861907497843	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S1_1	P1S1_1	P1S1	1	-3.517420082287527e-5	-0.5559345753616918	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S1_2	P1S1_2	P1S1	2	-8.270822949816117e-5	-1.307218454699747	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S1_3	P1S1_3	P1S1	3	-8.163202758371585e-5	-1.290208889725594	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S2_1	P1S2_1	P1S2	1	-4.014814278344679e-5	-0.6345486233580776	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S2_2	P1S2_2	P1S2	2	-8.788219234759652e-5	-1.3889938688483856	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S2_3	P1S2_3	P1S2	3	-7.179094466570971e-5	-1.1346688028115819	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S3_1	P1S3_1	P1S3	1	-7.486958243130943e-5	-1.1833272268516832	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S3_2	P1S3_2	P1S3	2	-3.902446932782744e-5	-0.6167887621307917	0
-122.24909	37.93082404	0	SanPabloReservoir_20190812	3	P1	SanPabloReservoir_20190812-P1S3_3	P1S3_3	P1S3	3	-3.687003578551891e-5	-0.5827375521965678	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S1_1	P2S1_1	P2S1	1	-2.815103498456648e-5	-0.4449321751173705	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S1_2	P2S1_2	P2S1	2	-1.2191574953892322e-4	-1.9269003662975985	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S1_3	P2S1_3	P2S1	3	-1.148349958982962e-4	-1.814987780471833	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S2_1	P2S2_1	P2S2	1	-1.5293974946471917e-4	-2.41724026944479	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S2_2	P2S2_2	P2S2	2	-1.5775664160654448e-4	-2.4933721167869245	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S2_3	P2S2_3	P2S2	3	-1.6700344822308906e-4	-2.639519559786603	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S3_1	P2S3_1	P2S3	1	-1.689403397161192e-4	-2.6701324784744127	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S3_2	P2S3_2	P2S3	2	-1.5921934197979967e-4	-2.5164903594722903	0
-122.2454988	37.92828351	0	SanPabloReservoir_20190812	5	P2	SanPabloReservoir_20190812-P2S3_3	P2S3_3	P2S3	3	-1.980227261152885e-4	-3.1297848303428357	0
