Lon	Lat	pix_val_sat	waterbody	pix_num	pixel	ci_sat	ci_mod_sat	uniqueID	sample	pix_site	rep	ci	ci_mod	pix_val	site
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S1_1	P3S1_1	P3S1	1	0.0010362001979100175	16.37733064400345	101.28697257496566	S1
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S1_2	P3S1_2	P3S1	2	0.0010352290691716982	16.361981779491142	101.25303820495749	S1
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S1_3	P3S1_3	P3S1	3	0.0010279120969327272	16.2463357161992	100.9963314218855	S1
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S2_1	P3S2_1	P3S2	1	9.456138133971403e-4	14.945596531228215	97.9761506414882	S2
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S2_2	P3S2_2	P3S2	2	9.19628272992566e-4	14.534890387736644	96.96769289367934	S2
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S2_3	P3S2_3	P3S2	3	9.012544826430762e-4	14.244489323980696	96.23728648490126	S2
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S3_1	P3S3_1	P3S3	1	0.0010629708877177907	16.80044621513947	102.2101141981508	S3
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S3_2	P3S3_2	P3S3	2	0.0010037308199673878	15.86414628113216	100.13477162875894	S3
-122.717196288	38.9837887673	94	ClearLake_20190807	958	P3	8.472274141405964e-4	13.390581781426672	ClearLake_20190807-P3S3_3	P3S3_3	P3S3	3	0.0010830392303786062	17.11762998319534	102.88701567817782	S3
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S1_1	P1S1_1	P1S1	1	0.0024140267977181646	38.154128062759185	131.8951739016978	S1
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S1_2	P1S1_2	P1S1	2	0.0022686707429237524	35.85674945264363	129.64762253031907	S1
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S1_3	P1S1_3	P1S1	3	0.0021380933138911502	33.79294968284613	127.50222128506454	S1
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S2_1	P1S2_1	P1S2	1	0.0023620049338808754	37.331913140875336	131.10673337131126	S2
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S2_2	P1S2_2	P1S2	2	0.0019351941213377954	30.586091422685698	123.89371133932258	S2
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S2_3	P1S2_3	P1S2	3	0.001956762772785747	30.926987841177837	124.2948481135101	S2
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S3_1	P1S3_1	P1S3	1	0.0018499166468715427	29.23826558880117	122.26268004172562	S3
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S3_2	P1S3_2	P1S3	2	0.00196353902107638	31.03408766513598	124.41996136270261	S3
-122.709869712	38.9787474776	117	ClearLake_20190807	978	P1	0.0015995580286146678	25.281302562699974	ClearLake_20190807-P1S3_3	P1S3_3	P1S3	3	0.0018271074587407564	28.87776226474023	121.81367420994457	S3
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S1_1	P2S1_1	P2S1	1	0.0022761024271905606	35.974208560183705	129.7659834922511	S1
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S1_2	P2S1_2	P2S1	2	0.002390091580914884	37.775827652844306	131.53454517398993	S1
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S1_3	P2S1_3	P2S1	3	0.0020968886699746893	33.14170286891056	126.79794775817295	S1
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S2_1	P2S2_1	P2S2	1	0.0022657938405881177	35.81127949338651	129.60169932174713	S2
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S2_2	P2S2_2	P2S2	2	0.002301479496179795	36.375297703430974	130.16725917742744	S2
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S2_3	P2S2_3	P2S2	3	0.0025083306530498915	39.644617470971085	133.28206545666117	S2
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S3_1	P2S3_1	P2S3	1	0.0026457847014523324	41.817103447700376	135.2128750778391	S3
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S3_2	P2S3_2	P2S3	2	0.002495270626953365	39.438201407710785	133.09313786130542	S3
-122.698881784	38.9711845254	129	ClearLake_20190807	1024	P2	0.002228435149270303	35.22081865254401	ClearLake_20190807-P2S3_3	P2S3_3	P2S3	3	0.0025983758183244898	41.06779751626586	134.55849715304316	S3
-122.702129316	39.0115346628	0	ClearLake_20190816	1230	OA04D	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-OA04D_1	OA04D_1	OA04D	1	0.001459379847239087	23.065761173986274	113.68069539421839	OA04D
-122.702129316	39.0115346628	0	ClearLake_20190816	1230	OA04D	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-OA04D_2	OA04D_2	OA04D	2	0.0014673602397022923	23.19189271333788	113.87806225386235	OA04D
-122.702129316	39.0115346628	0	ClearLake_20190816	1230	OA04D	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-OA04D_3	OA04D_3	OA04D	3	0.0013501058171862888	21.33866545967639	110.86398404243013	OA04D
-122.698681393	39.0117036924	0	ClearLake_20190816	1231	OA04C	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-OA04C_1	OA04C_1	OA04C	1	0.0014386713964140096	22.738460381174775	113.1634674226184	OA04C
-122.698681393	39.0117036924	0	ClearLake_20190816	1231	OA04C	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-OA04C_2	OA04C_2	OA04C	2	0.001695847715268221	26.803178392402984	119.11557088666565	OA04C
-122.698681393	39.0117036924	0	ClearLake_20190816	1231	OA04C	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-OA04C_3	OA04C_3	OA04C	3	0.0016375199787611692	25.881298017916457	117.84888394655505	OA04C
-122.717413378	38.9864787002	0	ClearLake_20190816	1337	LA03D	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-LA03D_1	LA03D_1	LA03D	1	7.994083405803956e-4	12.634792716374458	91.89738959449379	LA03D
-122.717413378	38.9864787002	0	ClearLake_20190816	1337	LA03D	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-LA03D_2	LA03D_2	LA03D	2	8.297027438732016e-4	13.113601213409849	93.2435438608133	LA03D
-122.717413378	38.9864787002	0	ClearLake_20190816	1337	LA03D	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-LA03D_3	LA03D_3	LA03D	3	8.287973180002724e-4	13.099290794511546	93.20402808503388	LA03D
-122.717196288	38.9837887673	0	ClearLake_20190816	1348	LA03C	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-LA03C_1	LA03C_1	LA03C	1	0.0014522751218915128	22.953469711017302	113.50407481414263	LA03C
-122.717196288	38.9837887673	0	ClearLake_20190816	1348	LA03C	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-LA03C_2	LA03C_2	LA03C	2	0.0015598234282426728	24.653290051592528	116.08961992269984	LA03C
-122.717196288	38.9837887673	0	ClearLake_20190816	1348	LA03C	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-LA03C_4	LA03C_4	LA03C	4	0.0014749415316662193	23.311716397460298	114.06456706132232	LA03C
