pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00341.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00342.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00343.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00344.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00345.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00346.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00347.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00348.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00349.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	plate	1	drifted too far to use these data; redid P2S1	Spec00350.asd.txt	P2S1x_3	P2S1x_3_PL1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00351.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00352.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00353.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00354.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00355.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00356.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00357.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00358.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00359.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	water	1	drifted too far to use these data; redid P2S1	Spec00360.asd.txt	P2S1x_3	P2S1x_3_WA1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00361.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00362.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00363.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00364.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00365.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00366.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00367.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00368.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00369.asd.txt	P2S1x_3	P2S1x_3_SK1
P2S1x	3	sky	1	drifted too far to use these data; redid P2S1	Spec00370.asd.txt	P2S1x_3	P2S1x_3_SK1
