pixel	spectra rep	type	type rep	file start	file end	notes
P1S1	1	PL	1	1	10	bad azimuth
P1S1	1	PL	2	11	20	
P1S1	1	WA	1	21	30	
P1S1	1	WA	2	31	40	
P1S1	1	SK	1	41	50	
P1S1	2	PL	1	51	60	
P1S1	2	WA	1	61	70	
P1S1	2	SK	1	71	80	
P1S1	3	PL	1	81	90	
P1S1	3	WA	1	91	100	
P1S1	3	SK	1	101	110	
P1S2	1	PL	1	111	120	
P1S2	1	WA	1	121	130	
P1S2	1	SK	1	131	140	
P1S2	2	PL	1	141	150	
P1S2	2	SK	1	151	160	"Data sheet says SK, not WA"
P1S2	2	WA	1	161	170	Check to make sure these SK and WA are correct
P1S2	3	PL	1	171	180	
P1S2	3	WA	1	181	190	
P1S2	3	SK	1	191	200	
P1S3	1	PL	1	201	210	
P1S3	1	WA	1	211	220	
P1S3	1	SK	1	221	230	
P1S3	2	PL	1	231	240	
P1S3	2	WA	1	241	250	
P1S3	2	SK	1	251	260	
P1S3	3	PL	1	261	270	
P1S3	3	WA	1	271	280	
P1S3	3	SK	1	281	290	
P2S1	1	PL	1	291	300	
P2S1	1	WA	1	301	310	
P2S1	1	SK	1	311	320	
P2S1	2	PL	1	321	330	
P2S1	2	WA	1	331	340	
P2S1	2	SK	1	341	350	saturation alert
P2S1	2	SK	2	351	360	
P2S1	3	PL	1	361	370	
P2S1	3	WA	1	371	380	
P2S1	3	SK	1	381	390	
P2S2	1	PL	1	391	400	saturation alert
P2S2	1	PL	2	401	410	
P2S2	1	WA	1	411	420	
P2S2	1	SK	1	421	430	
P2S2	2	PL	1	431	440	
P2S2	2	WA	1	441	450	
P2S2	2	SK	1	451	460	
P2S2	3	PL	1	461	470	
P2S2	3	WA	1	471	480	may have had glint
P2S2	3	SK	1	481	490	
P2S2	3	WA	2	491	500	
P2S3	1	PL	1	501	510	
P2S3	1	WA	1	511	520	
P2S3	1	SK	1	521	530	
P2S3	2	PL	1	531	540	
P2S3	2	WA	1	541	550	
P2S3	2	SK	1	551	560	
P2S3	3	PL	1	561	570	
P2S3	3	WA	1	571	580	
P2S3	3	SK	1	581	590	
P3S1	1	PL	1	591	600	
P3S1	1	WA	1	601	610	
P3S1	1	SK	1	611	620	
P3S1	2	PL	1	621	630	
P3S1	2	WA	1	631	640	
P3S1	2	SK	1	641	650	
P3S1	3	PL	1	651	660	
P3S1	3	WA	1	661	670	
P3S1	3	SK	1	671	680	
P3S2	1	PL	1	681	690	
P3S2	1	WA	1	691	700	
P3S2	1	SK	1	701	710	
P3S2	2	PL	1	711	720	
P3S2	2	WA	1	721	730	
P3S2	2	SK	1	731	740	
P3S2	3	PL	1	741	750	
P3S2	3	WA	1	751	760	
P3S2	3	SK	1	761	770	
P3S3	1	PL	1	771	780	
P3S3	1	WA	1	781	790	
P3S3	1	SK	1	791	800	
P3S3	2	PL	1	801	810	
P3S3	2	WA	1	811	820	
P3S3	2	SK	1	821	830	
P3S3	3	PL	1	831	840	
P3S3	3	WA	1	841	850	
P3S3	3	SK	1	851	860	
