pixel	spectra rep	type	type rep	file start	file end	notes
CL03C	1	PL	1	1	10	
CL03C	1	WA	1	11	20	
CL03C	1	SK	1	21	30	
CL03C	2	PL	1	31	40	
CL03C	2	PL	2	41	50	
CL03C	2	PL	3	51	60	
CL03C	2	WA	1	61	70	
CL03C	2	SK	1	71	80	
CL03C	3	PL	1	81	90	
CL03C	3	PL	2	91	100	
CL03C	3	WA	1	101	110	
CL03C	3	SK	1	111	120	
CL03C	4	PL	1	121	130	
CL03C	4	WA	1	131	140	
CL03C	4	SK	1	141	150	
CL03F	1	PL	1	151	160	
CL03F	1	WA	1	161	170	
CL03F	1	SK	1	171	180	
CL03F	2	PL	1	181	190	
CL03F	2	WA	1	191	200	
CL03F	2	SK	1	201	210	
CL03F	3	PL	1	211	220	
CL03F	3	WA	1	221	230	
CL03F	3	SK	1	231	240	
LA03C	1	PL	1	241	250	
LA03C	1	WA	1	251	260	
LA03C	1	SK	1	261	270	
LA03C	2	PL	1	271	280	
LA03C	2	WA	1	281	290	
LA03C	2	SK	1	291	300	
LA03C	3	PL	1	301	310	
LA03C	3	WA	1	311	320	forgot to do sky for rep #3
LA03C	4	PL	1	321	330	
LA03C	4	WA	1	331	340	
LA03C	4	SK	1	341	350	
LA03D	1	PL	1	351	360	
LA03D	1	WA	1	361	370	
LA03D	1	WA	2	371	380	
LA03D	1	SK	1	381	390	
LA03D	2	PL	1	391	400	
LA03D	2	WA	1	401	410	
LA03D	2	SK	1	411	420	
LA03D	3	PL	1	421	430	
LA03D	3	WA	1	431	440	
LA03D	3	SK	1	441	450	
OA04D	1	PL	1	451	460	deg25 FOV
OA04D	1	WA	1	461	470	deg25 FOV
OA04D	1	SK	1	471	480	deg25 FOV
OA04D	2	PL	1	481	490	deg25 FOV
OA04D	2	WA	1	491	500	deg25 FOV
OA04D	2	SK	1	501	510	deg25 FOV
OA04D	3	PL	1	511	520	deg25 FOV
OA04D	3	PL	2	521	530	deg25 FOV
OA04D	3	WA	1	531	540	deg25 FOV
OA04D	3	SK	1	541	550	deg25 FOV
OA04C	1	PL	1	551	560	
OA04C	1	WA	1	561	570	
OA04C	1	SK	1	571	580	
OA04C	1	SK	2	581	590	
OA04C	2	PL	1	591	600	
OA04C	2	WA	1	601	610	
OA04C	2	SK	1	611	620	
OA04C	3	PL	1	621	630	
OA04C	3	WA	1	631	640	
OA04C	3	WA	2	641	650	
OA04C	3	SK	1	651	660	
