Lon,Lat,Cicyano,,Lon,Lat,CI,,LonTF,LatTF,ValueTF,Cicyano > Ci,Cicyano > 0,CI > 0,Cicyano > Ci
-122.6708814,39.01036215,0,,-122.6708814,39.01036215,147,,TRUE,TRUE,FALSE,FALSE,,,
-122.6674334,39.01053025,0,,-122.6674334,39.01053025,167,,TRUE,TRUE,FALSE,FALSE,,,
-122.6639853,39.01069825,0,,-122.6639853,39.01069825,168,,TRUE,TRUE,FALSE,FALSE,,,
-122.736171,39.00445913,0,,-122.736171,39.00445913,97,,TRUE,TRUE,FALSE,FALSE,,,
-122.7085912,39.00581638,0,,-122.7085912,39.00581638,134,,TRUE,TRUE,FALSE,FALSE,,,
-122.6879051,39.00683006,0,,-122.6879051,39.00683006,89,,TRUE,TRUE,FALSE,FALSE,,,
-122.6844573,39.00699865,0,,-122.6844573,39.00699865,134,,TRUE,TRUE,FALSE,FALSE,,,
-122.7325058,39.00193929,0,,-122.7325058,39.00193929,111,,TRUE,TRUE,FALSE,FALSE,,,
-122.687689,39.00413999,0,,-122.687689,39.00413999,63,,TRUE,TRUE,FALSE,FALSE,,,
-122.6842413,39.00430857,0,,-122.6842413,39.00430857,128,,TRUE,TRUE,FALSE,FALSE,,,
-122.6840253,39.00161849,0,,-122.6840253,39.00161849,99,,TRUE,TRUE,FALSE,FALSE,,,
-122.6805778,39.00178695,0,,-122.6805778,39.00178695,133,,TRUE,TRUE,FALSE,FALSE,,,
-122.6771302,39.00195531,0,,-122.6771302,39.00195531,134,,TRUE,TRUE,FALSE,FALSE,,,
-122.6736826,39.00212356,0,,-122.6736826,39.00212356,135,,TRUE,TRUE,FALSE,FALSE,,,
-122.7320702,38.99655958,0,,-122.7320702,38.99655958,83,,TRUE,TRUE,FALSE,FALSE,,,
-122.680362,38.99909685,0,,-122.680362,38.99909685,117,,TRUE,TRUE,FALSE,FALSE,,,
-122.6769145,38.99926519,0,,-122.6769145,38.99926519,122,,TRUE,TRUE,FALSE,FALSE,,,
-122.7111708,38.99488726,0,,-122.7111708,38.99488726,121,,TRUE,TRUE,FALSE,FALSE,,,
-122.7072902,38.98967655,0,,-122.7072902,38.98967655,132,,TRUE,TRUE,FALSE,FALSE,,,
-122.7309819,38.98311026,0,,-122.7309819,38.98311026,100,,TRUE,TRUE,FALSE,FALSE,,,
