Lon,Lat,Pixel Value
-122.253065841,37.9387494822,93
-122.252873672,37.9360569688,82
-122.24909002,37.9308240462,99
-122.248898051,37.9281315119,110
-122.245498758,37.92828351,109
-122.245306937,37.925590959,105
-122.241907742,37.9257428447,105
-122.231136167,37.9181200753,144
