Lon,Lat,Pixel Value
-122.252873672,37.9360569688,93
-122.252681529,37.9333644533,82
-122.248898051,37.9281315119,99
-122.248706107,37.9254389755,110
-122.245306937,37.925590959,109
-122.245115142,37.922898406,105
-122.241716069,37.9230502771,105
-122.23094494,37.9154274577,144
