pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
P1S2	2	plate	1	na	Spec00131.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00132.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00133.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00134.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00135.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00136.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00137.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00138.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00139.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	plate	1	na	Spec00140.asd.txt	P1S2_2	P1S2_2_PL1
P1S2	2	water	1	na	Spec00141.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00142.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00143.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00144.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00145.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00146.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00147.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00148.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00149.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	water	1	na	Spec00150.asd.txt	P1S2_2	P1S2_2_WA1
P1S2	2	sky	1	na	Spec00151.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00152.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00153.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00154.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00155.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00156.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00157.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00158.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00159.asd.txt	P1S2_2	P1S2_2_SK1
P1S2	2	sky	1	na	Spec00160.asd.txt	P1S2_2	P1S2_2_SK1
